fen,best_move,best_move_san,best_move_eval,next_best,next_best_eval,moving_piece,is_capture,is_check,capture_range
r1bqkbnr/pp2pppp/8/3pP3/3Q4/2N5/PPP2PPP/R1B1KB1R b KQkq -,e7e6,e6,62,c8d7,188,pawn,False,False,
3R4/r6p/2p1kpp1/2bp4/3P2PP/4PK2/5P2/8 w - -,d4c5,dxc5,97,d8c8,-278,pawn,True,False,
7K/3k3P/8/8/8/6r1/R7/8 w - -,a2a8,Ra8,268,a2d2,0,rook,False,False,
3b4/6p1/p1k2p2/2p2P2/PPK3P1/2B5/8/8 w - -,b4b5,b5+,601,b4c5,444,pawn,False,True,
2R5/r3k2p/2pb1pp1/2Np4/3P2PP/4PK2/5P2/8 b - -,d6c5,Bxc5,78,f6f5,216,bishop,True,False,1
5rk1/1p3ppp/p3n3/3Np1q1/P3P3/2P5/5PPP/1Q3RK1 w - -,b1b7,Qxb7,157,f1d1,45,queen,True,False,6
2rq1rk1/ppR2p1p/8/3p2p1/3P4/6QP/PP3PP1/4R1K1 w - -,c7c8,Rxc8,551,c7b7,301,rook,True,False,1
7R/r2k3p/2p2pp1/2Pp4/6PP/4PK2/5P2/8 b - -,d7e6,Ke6,69,a7a5,327,king,False,False,
rnb1kb1r/pp2pppp/5n2/qN1p4/3p1B2/4P3/PPPQ1PPP/R3KBNR b KQkq -,a5d2,Qxd2+,-120,b8c6,349,queen,True,True,3
r4rk1/pq3ppp/5B2/1P1b1p2/P7/8/5PPP/R2Q1RK1 w - -,a1a3,Ra3,185,d1d4,-129,rook,False,False,
4r1k1/1pbRrpp1/5q2/p1Q1pPN1/P7/2P4P/5PP1/3R2K1 b - -,e7d7,Rxd7,0,e5e4,155,rook,True,False,1
8/1p3p2/p2kpp1p/P6P/2P2PP1/8/1P6/3K4 w - -,g4g5,g5,675,d1e2,570,pawn,False,False,
r5k1/2qnbppp/rpp1pn2/p1Pp2B1/1P1P4/P1NQPN2/5PPP/R4RK1 w - -,b4b5,b5,203,g5f4,16,pawn,False,False,
2r2rk1/p4pbp/q5p1/2pPN3/8/7P/PP3PP1/R1BQ1RK1 b - -,g7e5,Bxe5,21,f8e8,481,bishop,True,False,2
4r1k1/1pbRrpp1/5q2/p1p1pPN1/P5Q1/2P4P/5PP1/3R2K1 b - -,e5e4,e4,282,e7d7,411,pawn,False,False,
r1b1kb1r/pp3ppp/4pn2/8/2Bq4/5N2/PPP2PPP/R1B2RK1 w kq -,f3d4,Nxd4,8,c4b5,-412,knight,True,False,
8/pkpP1r2/1p6/8/8/8/PPP5/1K6 w - -,d7d8n,d8=N+,477,b1c1,-699,pawn,False,True,
r1bq1rk1/ppp2pp1/2np1n1p/2bNp1B1/2B1P3/3P1N2/PPP2PPP/R2QK2R w KQ -,d5f6,Nxf6+,275,g5f6,103,knight,True,True,
rnbqkb1r/pp1ppppp/5n2/2p1P3/2P5/8/PP1P1PPP/RNBQKBNR b KQkq -,f6g8,Ng8,-17,f6e4,211,knight,False,False,
r1b2rk1/pp2nppp/3bp3/2q1N3/4pB2/2P1PN2/PP3PPP/R2Q1RK1 w - -,e5d7,Nd7,94,f3g5,-212,knight,False,False,
8/1p3p2/p2k1p1p/P3p2P/2P2PP1/8/1P1K4/8 w - -,g4g5,g5,807,d2e3,694,pawn,False,False,
r1bq1b1r/ppp2kpp/2p2n2/5p2/4P3/8/PPP2PPP/RNBQK2R w KQ -,d1d8,Qxd8,-52,d1e2,-528,queen,True,False,7
r1bqk1nr/pp3pbp/3p2p1/2pPp3/2PnP3/2N1B3/PP2NPPP/R2QKB1R w KQkq e6,d5e6,dxe6,119,b2b4,-84,pawn,True,False,
r1bqk1nr/pp3pbp/3pP1p1/2p5/2PnP3/2N1B3/PP2NPPP/R2QKB1R b KQkq -,d4e6,Nxe6,93,c8e6,210,knight,True,False,
r1b1kb1r/pp1ppppp/5n2/q3P3/3Q4/8/PPPB1PPP/RN2KB1R b KQkq -,a5d5,Qd5,93,a5c7,483,queen,False,False,
6k1/6b1/B5p1/1pr3p1/2p1P3/6P1/P4P1P/1R4K1 b - -,c4c3,c3,-426,g8h7,56,pawn,False,False,
8/2pp1p2/p2k1P2/5P1P/2K5/8/8/8 b - -,d6e5,Ke5,707,a6a5,20000,king,False,False,
r1bqkbnr/5ppp/p2p4/1pp5/3NP3/1P6/1PP2PPP/RNBQ1RK1 w kq -,d4b5,Nxb5,234,d4c6,70,knight,True,False,
8/2pp1p2/p4P2/4kP1P/2K5/8/8/8 w - -,h5h6,h6,9605,c4c5,-4139,pawn,False,False,
8/2pp1p2/p4P1P/4kP2/2K5/8/8/8 b - -,d7d5,d5+,3548,e5f6,9605,pawn,False,True,
8/2pp1p2/p4k1P/5P2/2K5/8/8/8 w - -,c4c5,Kc5,9605,c4d4,-3579,king,False,False,
r1bqk2r/ppp2p2/7p/4P3/2p1Q2p/8/PPP3PP/RN3RK1 w kq -,b1c3,Nc3,162,h2h3,36,knight,False,False,
8/r3k2p/2pR1pp1/2Pp4/6PP/4PK2/5P2/8 b - -,a7a6,Ra6,137,h7h6,258,rook,False,False,
rnb4r/pp3kpp/3b4/q2p2B1/8/3B1Q2/Pp3PPP/1R3RK1 b - -,f7g8,Kg8,314,f7e8,439,king,False,False,
r4rk1/pp1bnppp/3Bp3/3qN3/4p3/2P1P3/PP3PPP/R2Q1RK1 b - -,d7a4,Ba4,128,e7c6,294,bishop,False,False,
r5k1/2qnbppp/rp2pn2/ppPp2B1/3P4/P1NQPN2/5PPP/R4RK1 w - -,c3b5,Nxb5,217,g5f6,0,knight,True,False,
8/1p2kp2/p3p2p/P5PP/2P5/8/1P6/3K4 w - -,g5h6,gxh6,692,b2b4,536,pawn,True,False,
r1b1k1nr/pp2ppbp/1q1p2p1/2pP4/N1PnP3/4B3/PP2NPPP/R2QKB1R b KQkq -,b6a5,Qa5+,66,b6c7,188,queen,False,True,
8/6p1/7p/r3k3/P7/3K3P/6P1/R7 b - -,e5f4,Kf4,14,e5d6,136,king,False,False,
rnb3kr/pp4pp/3b4/q2p2B1/8/3B1Q2/Pp3PPP/1R3RK1 w - -,f1e1,Rfe1,288,b1e1,143,rook,False,False,
r1bq1rk1/pp2npbp/3pp1p1/2p5/4P3/3PB1P1/PPPQnPBP/R2N1RK1 w - -,d2e2,Qxe2,-3,g1h1,-403,queen,True,False,1
8/4k2p/r1pR1pp1/2Pp2P1/7P/4PK2/5P2/8 b - -,f6g5,fxg5,143,a6a4,351,pawn,True,False,
8/8/4R1pk/4pp1p/7P/4p1P1/2r2P2/5K2 w - -,f2e3,fxe3,-32,e6e5,-435,pawn,True,False,
8/8/6pk/4Rp1p/7P/4p1P1/2r2P2/5K2 b - -,c2f2,Rxf2+,-435,f5f4,-254,rook,True,True,3
rn1qkbnr/pp2pppp/2p5/1B3b2/4N3/8/PPPP1PPP/R1BQK1NR w KQkq -,b5d3,Bd3,-1,e4g3,-104,bishop,False,False,
rn4kr/pp1b2pp/3b4/q2p2B1/8/3B1Q2/Pp3PPP/1R2R1K1 w - -,d3f5,Bf5,329,g5e7,173,bishop,False,False,
r1bq1rk1/ppp2pbp/n4np1/4N3/2PPP3/2N5/PP2B1PP/R1BQK2R b KQ -,c7c5,c5,-39,d8e7,90,pawn,False,False,
4k2r/pp1b1ppp/4pn2/2b1P3/3Q4/2B5/qPP3PP/2KR1B1R w k -,d4c5,Qxc5,341,f1c4,-12,queen,True,False,1
8/6p1/7p/r7/P4k2/2K4P/6P1/R7 b - -,f4g3,Kg3,44,a5a8,247,king,False,False,
5k2/8/5pK1/3B1P1P/3n4/8/3b4/8 b - -,d2g5,Bg5,-291,f8e7,0,bishop,False,False,
r4rk1/3q1p2/p2bpn1p/1p1p4/3N4/3P1Q2/PPP2PPP/R4RK1 w - -,f3f6,Qxf6,102,d4b5,-298,queen,True,False,3
8/3p1p2/p1p2k1P/2K2P2/8/8/8/8 w - -,c5d6,Kd6,9605,c5c4,-4225,king,False,False,
2q2r2/2p1n1bk/1p1p2p1/1P2p2p/2P1PpP1/1N1P3P/Q2N1PK1/5R2 w - -,g4g5,g5,160,a2a6,7,pawn,False,False,
r4rk1/pq3ppp/5B2/1P1b1p2/P7/R7/5PPP/3Q1RK1 b - -,g7f6,gxf6,154,d5g2,370,pawn,True,False,
r4rk1/pq3p1p/5p2/1P1b1p2/P7/R7/5PPP/3Q1RK1 w - -,a3g3,Rg3+,187,d1d4,-135,rook,False,True,
r2q1rk1/pb2npBp/1p2p1p1/2pp4/4P3/3P2P1/PPPQ1PBP/R2N1RK1 b - -,g8g7,Kxg7,-21,d8d7,455,king,True,False,
r2q1rk1/pp1nbppp/2p1p3/8/3PP3/5BBP/PP1Q1PP1/R2R2K1 w - -,d4d5,d5,225,a2a4,106,pawn,False,False,
rn4kr/pp1b2pp/3b4/q2p4/8/3B1Q2/Pp1B1PPP/1R2R1K1 b - -,a5c5,Qc5,-8,a5a2,560,queen,False,False,
rn1qk2r/pb1pbppp/1p1Npn2/2p5/3P1B2/4PN2/PPP2PPP/R2QKB1R b KQkq -,e7d6,Bxd6,20,e8f8,556,bishop,True,False,1
8/pp4pp/4k3/4rp2/1P5P/2P2PP1/3K4/4R3 b - -,e5e1,Rxe1,-466,f5f4,-9,rook,True,False,4
8/1p1kp3/p4p2/8/4PK2/1P5P/P7/8 b - -,e7e6,e6,0,d7e6,464,pawn,False,False,
r1bqk2r/ppp2ppp/2n5/1B1p4/3P4/B4N2/P4PPP/b2Q1RK1 w kq -,f1e1,Re1+,207,d1e2,86,rook,False,True,
2k3r1/p6R/b3p1p1/3pPpP1/3NBP2/2P2QK1/q7/8 b - -,d5e4,dxe4,22,f5e4,211,pawn,True,False,
8/4R2P/4p1k1/p7/2P3p1/3K1p2/PP2r3/8 b - -,e2h2,Rh2,-32,g6f6,682,rook,False,False,
1r1r2k1/2q2ppp/p3b3/4p3/1p2P3/5B1P/PPPR1QP1/3R3K w - -,f2a7,Qa7,479,c2c4,14,queen,False,False,
8/1p1k4/p3pp2/8/4P1K1/1P5P/P7/8 b - -,d7d6,Kd6,0,d7e7,432,king,False,False,
r1bq1rk1/ppp1n1pp/3P4/8/8/5p2/PPP2PPP/R1BQ1RK1 w - -,d6e7,dxe7,-50,c1g5,-371,pawn,True,False,
r3k2r/pppq1ppp/2n1b3/1B1p4/3P4/B4N2/P1Q2PPP/b3R1K1 w kq -,f3e5,Ne5,195,e1a1,-212,knight,False,False,
8/5B2/3K4/8/1p1k4/8/2b5/8 w - -,f7e8,Be8,-18,d6c7,-1210,bishop,False,False,
r3k2r/pppq1ppp/4b3/1B1pn3/3P4/B7/P1Q2PPP/b3R1K1 w kq -,b5d7,Bxd7+,200,c2b3,-525,bishop,True,True,2
r3r1k1/6pp/4b1q1/p1p5/PpP1R3/1B2Q3/1P3PPP/4R1K1 b - -,e6f7,Bf7,75,e6d7,195,bishop,False,False,
8/3p1p2/2pK1k1P/p4P2/8/8/8/8 w - -,d6d7,Kxd7,9605,h6h7,-3492,king,True,False,
r2q1rk1/pppn1pbp/6p1/1Q2N3/4P1b1/2N1B3/PP3PPP/3RKB1R b K -,g7e5,Bxe5,52,c7c6,185,bishop,True,False,2
2r2rk1/1b1q1p1n/p3p1p1/1p1p2bQ/8/1P1BP3/PBP2PPP/3R1RK1 w - -,d3g6,Bxg6,476,h5h3,-314,bishop,True,False,3
8/Q4pk1/6p1/4K2p/6P1/1PP4q/P7/8 w - -,a7d4,Qd4,-154,g4h5,-382,queen,False,False,
8/1p6/p3p1K1/4kp2/4P3/1P5P/P7/8 w - -,e4f5,exf5,0,h3h4,-167,pawn,True,False,
r1bqk2r/2p2p2/p2p1n1p/npb1p1p1/4P2B/1BNP1N2/PPP2PPP/R2Q1RK1 w kq -,h4g3,Bg3,-77,f3g5,-234,bishop,False,False,
6k1/6p1/1p3p2/5Pp1/1Nn3P1/3p3P/8/5K2 b - -,c4e3,Ne3+,-786,d3d2,-670,knight,False,True,
8/5pk1/6p1/4K2p/3Q2P1/1PP4q/P7/8 b - -,h5g4,hxg4,-502,f7f6,-173,pawn,True,False,
8/6p1/8/r6p/PK6/6kP/R5P1/8 b - -,a5a8,Ra8,4,a5a7,296,rook,False,False,
2rqr3/pp2ppk1/3p2p1/4nP1n/8/1BN5/PPPQ4/1K1R3R b - -,e8h8,Rh8,69,e7e6,337,rook,False,False,
r1bq1rk1/pppp1Npp/2n2n2/2b1p3/2B1P3/2N5/PPPP1PPP/R1BQK2R b KQ -,f8f7,Rxf7,-173,d8e7,-32,rook,True,False,1
r1b1kb1r/pppp1ppp/2n2n2/5N1q/4P3/2N5/PPP2PPP/R1BQKB1R w KQkq -,f1e2,Be2,494,f2f3,235,bishop,False,False,
r1b1qrk1/pppp1Npp/2n2n2/2b1p3/2B1P3/2N5/PPPP1PPP/R1BQK2R w KQ -,f7d6,Nd6+,517,d2d4,273,knight,False,True,
6k1/6p1/1p3p2/5Pp1/1N4P1/3pn2P/8/5K2 w - -,f1e1,Ke1,-1039,f1f2,-3693,king,False,False,
6k1/6p1/1p3p2/5Pp1/1N4P1/3pn2P/5K2/8 b - -,d3d2,d2,-4451,e3c4,-365,pawn,False,False,
8/8/5p2/P1k3b1/3N4/5K1p/7P/8 w - -,d4e6,Ne6+,9605,f3e2,205,knight,False,True,
6k1/ppp3pp/8/1bR1b3/4P3/P4P1P/1P4P1/6K1 b - -,e5d4,Bd4+,-589,e5b2,441,bishop,False,True,
6k1/p1p3pp/b3p3/8/prP5/1P4P1/P3PPBP/5RK1 w - -,f1a1,Ra1,188,g2h3,56,rook,False,False,
r1bqkbnr/ppp2ppp/2n5/4p3/2B5/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,e1h1,O-O,172,h2h3,72,king,False,False,
4rrk1/p2bq2p/1p4p1/n1pP1p2/2P1Pp2/2QN2P1/PR4BP/5RK1 w - -,e4e5,e5,156,g3f4,0,pawn,False,False,
N1R5/4p1bk/p6p/3Pp3/4PpPq/Q4p1B/PP2bP1P/4R1K1 w - -,c8h8,Rh8+,0,e1e2,-619,rook,False,True,
r1bqkb1r/1pp2ppp/p1n5/1B1pP3/4n3/2N2Q2/PPPP2PP/R1B1K1NR w KQkq -,b5c6,Bxc6+,62,e5e6,-95,bishop,True,True,1
r6k/p2rq1pp/1p3pn1/3PP2N/2p2P2/P1Bn2Q1/6PP/1R3R1K b - -,f6e5,fxe5,6,f6f5,276,pawn,True,False,
r1bqk2r/ppp2p2/5n1p/3Pp3/2Bn1P1p/8/PPP3PP/RN1Q1RK1 w kq -,f4e5,fxe5,28,f1e1,-124,pawn,True,False,
r2qkb1r/pp1n1ppb/2p1pn1p/4N3/2BP3P/6N1/PPP1QPP1/R1B1K2R w KQkq -,e5f7,Nxf7,534,c1d2,35,knight,True,False,
4rrk1/p2bq2p/1p4p1/n1pPPp2/2P2p2/2QN2P1/PR4BP/5RK1 b - -,f4g3,fxg3,159,f4f3,270,pawn,True,False,
r4rk1/1p2ppbp/1q2b1p1/p2pn3/P2P4/2P5/BP2QPPP/R1B2RK1 w - -,d4e5,dxe5,0,h2h4,-354,pawn,True,False,
rn1qkbnr/pp3ppp/4p1B1/2ppP3/3P4/2P2N2/PP3PPP/RNBQK2R b KQkq -,h7g6,hxg6,26,f7g6,162,pawn,True,False,
4b2k/2q5/3bp3/3p4/3P1rN1/1P2Q3/6R1/5BK1 w - -,f1d3,Bd3,1196,g4e5,36,bishop,False,False,
rn3rk1/5ppp/p2bpn2/1b6/3P4/B3P3/4QPPP/RN3RK1 w - -,e2f3,Qf3,383,e2d1,206,queen,False,False,
r2qk1nr/pppb1ppp/2np4/1Bb5/3PP3/5N2/PP3PPP/RNBQ1RK1 b kq -,c5b6,Bb6,72,c5b4,357,bishop,False,False,
r1bq1rk1/p3bppp/2p1pn2/1p6/PnpP4/1P3NP1/2QNPPBP/R1B2RK1 w - -,c2b2,Qb2,-34,c2b1,-148,queen,False,False,
8/8/5p1b/P1k5/3N4/7p/5K1P/8 w - -,f2f3,Kf3,9605,f2g3,7,king,False,False,
rnbqkb1r/pp3ppp/2pp1n2/4P3/4PP2/2N5/PPP3PP/R1BQKBNR b KQkq -,d6e5,dxe5,96,f6g4,203,pawn,True,False,
rnbqkbnr/1ppppppp/8/8/8/pPN5/PBPPPPPP/R2QKBNR w KQkq -,b2c1,Bc1,-53,b2a3,-374,bishop,False,False,
r2qk2r/pb1n1ppp/1p1bpn2/1BppN3/3P1B2/4PN2/PPP2PPP/R2QK2R w KQkq -,e5d7,Nxd7,424,e5f7,214,knight,True,False,
r3kb1r/pp2pppp/2n5/2Pp1N2/4nB2/2P1P3/Pq1N1PPP/R2QKB1R b KQkq -,e4d2,Nxd2,-102,e7e5,229,knight,True,False,
r1bqkb1r/ppp2ppp/8/4P3/3np3/2Q5/PPPP2PP/R1B1KBNR w KQkq -,g1e2,Ne2,-40,a2a3,-217,knight,False,False,
rnbqkb1r/p2n1p1p/4p1P1/2ppP1P1/1p1P4/8/PPP1BP2/RNBQK1NR b KQkq -,f7g6,fxg6,63,f8g7,249,pawn,True,False,
r2qr2k/pbpp2pn/1p5p/4P3/2P5/B1P3P1/P1B1P2P/R2Q1RK1 b - -,e8e5,Rxe5,-161,c7c5,13,rook,True,False,3
2r1qr2/p3p1kp/1p2Qpp1/8/8/1P4P1/P2RPPbP/3R2K1 w - -,d2d7,Rd7,138,g1g2,24,rook,False,False,
r3kb1r/pp2pppp/2n5/2Pp1b2/3N1B2/2P1P3/P2n1PPP/R3KB1R w KQkq -,e1d2,Kxd2,0,d4f5,-125,king,True,False,
5rk1/1pR1pp1p/3p1b2/r1nPP1p1/p5P1/4BP2/PP2BK1P/1R6 b - -,f6e5,Bxe5,55,f6h8,180,bishop,True,False,1
2r1q3/p2Rprkp/1p2Qpp1/8/8/1P4P1/P3PPbP/3R2K1 w - -,g1g2,Kxg2,221,f2f3,-4,king,True,False,
1r1r2k1/Q4ppp/p3b3/q3p3/1p2P3/5B1P/PPPR2P1/3R3K w - -,a7a6,Qxa6,622,f3g4,153,queen,True,False,1
7k/p2r1pp1/1pn4p/5q2/8/1P5P/P1B2PP1/4R1K1 w - -,e1e8,Re8+,647,c2f5,0,rook,False,True,
r1b1kbnr/ppp1pppp/2n5/3q4/3P4/2N5/PPP2PPP/R1BQKBNR b KQkq -,d5d4,Qxd4,-77,d5f5,133,queen,True,False,1
7r/1kp2p2/1p2p3/3p1q2/Q1nP4/2P1PNP1/P3KP2/2R5 b - -,f5g4,Qg4,-464,f5e4,-347,queen,False,False,
2R5/2p2rk1/1p2p1p1/pP2P1K1/P4P1P/8/8/8 w - -,c8e8,Re8,696,c8d8,526,rook,False,False,
r1bqk2r/pppp1ppp/2n5/8/2BP4/1Qb2N2/P4PPP/R1B2RK1 b kq -,d7d5,d5,56,e8h8,366,pawn,False,False,
r2qk2r/pb3ppp/1p2pN2/1Bpp4/3P1b2/4PN2/PPP2PPP/R2QK2R b KQkq -,e8e7,Ke7,436,e8f8,578,king,False,False,
rn3k1r/pp2R1pp/8/1B4B1/8/8/Pp3PPb/1R3K2 b - -,b8c6,Nc6,338,b8a6,496,knight,False,False,
r1b2bBr/ppppk1pp/8/4q3/3nP3/8/PPPP1PPP/RNBQ1RK1 b - -,h8g8,Rxg8,46,e7d8,185,rook,True,False,1
r1b2br1/ppppk1pp/8/4q3/3nP3/8/PPPP1PPP/RNBQ1RK1 w - -,c2c3,c3,60,f2f4,-112,pawn,False,False,
r2q1rk1/pppn1pbp/2n3p1/1Q2p3/3PP1b1/2N1BN2/PP3PPP/3RKB1R w K -,d4e5,dxe5,42,d4d5,-108,pawn,True,False,
r3kb1r/pp1b1ppp/2N5/2Ppp3/5B2/2P1P3/P2K1PPP/1R3B1R b kq -,e5f4,exf4,0,d7c6,115,pawn,True,False,
r1bq1rk1/pppp1ppp/2n2n2/2bNp1B1/4P3/3P1Q2/PPP2PPP/R3KBNR b KQ -,c6d4,Nd4,-62,c5e7,44,knight,False,False,
r1bqkb1r/ppp1pppp/5n2/3pn3/3P4/2N5/PPP1PPPP/R1BQKB1R w KQkq -,d4e5,dxe5,54,e2e4,-312,pawn,True,False,
rnbq1rk1/ppp2pbp/3p1np1/8/2PpP3/2NB1N2/PP3PPP/R1BQ1RK1 w - -,f3d4,Nxd4,7,c3b5,-148,knight,True,False,
r1bq1k1r/pppp1Bpp/8/6B1/3n4/1Q3N2/P4PPP/b4RK1 w - -,b3a3,Qa3+,399,g5d8,-113,queen,False,True,
r1br4/pppp1kpp/8/8/3n4/Q4N2/P4PPP/b4RK1 w - -,f3g5,Ng5+,410,f1a1,256,knight,False,True,
r1b5/1pN2k2/p2Q3p/q3n1p1/4P3/2N3P1/PPP3PP/5K2 b - -,e5c4,Nc4,0,a8b8,376,knight,False,False,
8/3K1p2/2p2k1P/5P2/p7/8/8/8 w - -,d7e8,Ke8,9605,h6h7,-3585,king,False,False,
r3kbnr/ppp1pppp/2n5/q7/2PP4/5Q2/PP1B1PPP/RN2KB1R b KQkq -,a5b6,Qb6,9,a5a6,264,queen,False,False,
4b3/p3kp2/8/3pPp1p/2pP1N2/4K1P1/P6P/8 b - -,e8c6,Bc6,124,e7f8,479,bishop,False,False,
rn1qkbnr/pp2ppp1/2p3bp/5P2/3P4/6N1/PPP3PP/R1BQKBNR b KQkq -,g6f5,Bxf5,55,g6h7,178,bishop,True,False,1
r3k2r/pp3pp1/2n1p3/2b1P1Bp/1nQ4P/5N2/1q1N1PP1/R1R3K1 b kq -,b7b6,b6,26,e8h8,190,pawn,False,False,
8/2pp1p2/p4k1P/3K1P2/8/8/8/8 b - -,a6a5,a5,-3530,c7c6,3360,pawn,False,False,
4B3/7b/3K4/8/1p1k4/8/8/8 w - -,e8a4,Ba4,-17,e8f7,-20000,bishop,False,False,
3rkb1r/pp1nnpp1/2p1p1b1/q3P2p/N1BP3P/6N1/PP1B1PP1/2RQK2R b Kk -,a5c7,Qc7,21,a5d2,460,queen,False,False,
r2qrn1k/pbP3p1/1p5p/n7/2P2P2/B1PQ2P1/P1B1P2P/R4RK1 b - -,d8c7,Qxc7,-318,d8f6,0,queen,True,False,1
8/2pp1p2/5k1P/p1K2P2/8/8/8/8 b - -,c7c6,c6,-3520,a5a4,9605,pawn,False,False,
rnbq1rk1/p3bppp/2p1pn2/1p2N3/P1pP4/6P1/1P1NPPBP/R1BQ1RK1 b - -,f6d5,Nd5,-57,d8c7,69,knight,False,False,
rnb2k1r/pp4pp/3b4/q2p2BQ/8/3B4/Pp3PPP/1R3RK1 w - -,b1e1,Rbe1,773,f1e1,607,rook,False,False,
rnbqk1nr/ppp2ppp/3b4/1B1p4/5p2/1P2P3/PBPP2PP/RN1QK1NR b KQkq -,e8f8,Kf8,-83,e8e7,60,king,False,False,
3k4/7R/4K3/3P4/8/8/8/4r3 w - -,e6d6,Kd6,491,e6f5,0,king,False,False,
r1bqk1nr/1pp2ppp/p1Bp4/2b1p3/4P3/2P2N2/PP1P1PPP/RNBQ1RK1 b kq -,b7c6,bxc6,27,e8f8,524,pawn,True,False,
rnbqk2r/p2n2bR/4p1p1/2ppP1P1/1p1P4/3B4/PPP2P2/RNBQK1N1 b Qkq -,h8h7,Rxh7,78,d8e7,208,rook,True,False,1
3Q4/8/3K4/4r3/5q2/8/4k3/6Q1 w - -,g1g2,Qg2+,268,g1b6,0,queen,False,True,
1R6/5nk1/8/2p1p2r/2P1Ppp1/3P1P2/3N1K2/5N2 w - -,f3g4,fxg4,571,f2g2,414,pawn,True,False,
8/8/6pk/4Rp1p/7P/4p1P1/5r2/5K2 w - -,f1g1,Kg1,-447,f1e1,-707,king,False,False,
r1bq1rk1/ppp1n1pp/3b4/5p2/3Pp3/3B1N2/PPP2PPP/R1BQ1RK1 w - -,d3c4,Bc4+,-20,c2c4,-266,bishop,False,True,
r1bqk2r/pp3ppp/2nBpn2/3p4/3P4/2NBP3/PP3PPP/R2QK1NR b KQkq -,d8d6,Qxd6,46,f6e4,479,queen,True,False,2
r2qkb1r/pb1n1ppp/1p2pn2/2ppN3/3P1B2/4PN2/PPP2PPP/R2QKB1R w KQkq -,f1b5,Bb5,209,c2c3,32,bishop,False,False,
rn3rk1/p1pp1ppp/1p2p3/6q1/2PPQ3/6P1/PP2PP1P/R3K2R w KQ -,e4a8,Qxa8,40,e1h1,-414,queen,True,False,4
8/8/6pk/4R2p/5P1P/4p3/5r2/6K1 b - -,f2f4,Rxf4,-529,h6g7,-10,rook,True,False,2
r1bqkb1r/pppp1ppp/5n2/4p3/2BnP3/3P1Q2/PPP2PPP/RNB1K1NR w KQkq -,f3d1,Qd1,-97,c4f7,-388,queen,False,False,
1r1q1rk1/2pn1pbp/6p1/8/4PP2/2N1n3/PP2QP1P/3RKB1R w K -,e2e3,Qxe3,32,f2e3,-303,queen,True,False,1
r1bq1r1k/ppp1n1pp/3b4/5pN1/2BPp3/8/PPP2PPP/R1BQ1RK1 b - -,d8e8,Qe8,-107,e7g8,28,queen,False,False,
8/8/4k3/1p5p/1P5P/2K5/8/8 w - -,c3d4,Kd4,0,c3d3,-9605,king,False,False,
3r4/1kbQ4/1q2p3/3p4/3P2p1/pP1N4/P6P/1KR5 w - -,c1c7,Rxc7+,925,d7a4,407,rook,True,True,6
r2qkb1r/1b1n1ppp/pp2pn2/1BppN3/3P1B2/4PN2/PPP2PPP/R2QK2R w KQkq -,f3g5,Ng5,220,b5d7,16,knight,False,False,
5rk1/pQ1p1ppp/1p2p3/2p3q1/2Pn4/4P1P1/PP3P1P/3RK2R b K -,d4c2,Nc2+,30,g5e5,173,knight,False,True,
rn1qk2r/pbpp1p2/1p2pn1p/6p1/1bPP3B/2N1PN2/PP3PPP/R2QKB1R w KQkq -,h4g3,Bg3,0,f3g5,-197,bishop,False,False,
r1bqk2r/ppp2pp1/2p2n2/2b5/4P2p/2N3PP/PPPP1P2/R1BQKB1R w KQkq -,g3g4,g4,184,g3h4,78,pawn,False,False,
r2qkb1r/1b1n1ppp/pp2pn2/1BppN1N1/3P1B2/4P3/PPP2PPP/R2QK2R b KQkq -,a6b5,axb5,227,c5d4,328,pawn,True,False,
r2qkb1r/1b1n1ppp/1p2pn2/1pppN1N1/3P1B2/4P3/PPP2PPP/R2QK2R w KQkq -,e5f7,Nexf7,234,g5f7,117,knight,True,False,
8/5p2/3k3p/2pP2p1/1pP1Bn2/1P2K1PP/8/8 b - -,f4h5,Nh5,0,f4h3,570,knight,False,False,
5rk1/p2p1ppp/1p2p3/2p2q2/1nP5/4P1P1/PP1K1PQP/3R3R w - -,e3e4,e4,30,g2f1,-141,pawn,False,False,
rnb1qk1r/pp1nb1p1/2p1p2p/3pP2Q/3P3P/2N2R2/PPP2PP1/R1B1KB2 b Q -,d7f6,Nf6,89,e7f6,221,knight,False,False,
5rk1/p2p1ppp/1p2pq2/2p5/1nP1P3/6P1/PP1K1PQP/3R3R w - -,d2c1,Kc1,47,b2b3,-271,king,False,False,
5rk1/p2p1ppp/1p2pq2/2p5/2P1P3/6P1/nP3PQP/2KR3R w - -,c1b1,Kb1,40,c1c2,-210,king,False,False,
5rk1/p2p1ppp/1p2pq2/2p5/2P1P3/6P1/nP3PQP/1K1R3R b - -,a2b4,Nb4,39,a2c3,173,knight,False,False,
8/5p2/3k3p/2pP2p1/1pP1BnP1/1P2K2P/8/8 w - -,h3h4,h4,0,e4d3,-270,pawn,False,False,
rn1qk2r/1p2bpp1/p2p1n2/3bp2p/4P3/1N2BP2/PPPQ2PP/R3KB1R w KQkq -,e4d5,exd5,62,e1a1,-383,pawn,True,False,
r1bqk2r/1p3ppp/p1nBpn2/3p4/3P4/2NBP3/PP3PPP/2RQK1NR b Kkq -,d8d6,Qxd6,39,c6d4,528,queen,True,False,2
